scenario_id,split,seed,source,selection_status
reconstructed_train_0000,train,1000,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0001,train,1001,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0002,train,1002,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0003,train,1003,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0004,train,1004,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0005,train,1005,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0006,train,1006,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0007,train,1007,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0008,train,1008,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0009,train,1009,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0010,train,1010,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0011,train,1011,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0012,train,1012,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0013,train,1013,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0014,train,1014,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0015,train,1015,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0016,train,1016,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0017,train,1017,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0018,train,1018,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0019,train,1019,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0020,train,1020,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0021,train,1021,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0022,train,1022,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0023,train,1023,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0024,train,1024,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0025,train,1025,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0026,train,1026,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0027,train,1027,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0028,train,1028,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0029,train,1029,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0030,train,1030,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0031,train,1031,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0032,train,1032,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0033,train,1033,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0034,train,1034,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0035,train,1035,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0036,train,1036,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0037,train,1037,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0038,train,1038,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0039,train,1039,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0040,train,1040,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0041,train,1041,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0042,train,1042,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0043,train,1043,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0044,train,1044,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0045,train,1045,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0046,train,1046,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0047,train,1047,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0048,train,1048,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0049,train,1049,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0050,train,1050,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0051,train,1051,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0052,train,1052,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0053,train,1053,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0054,train,1054,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0055,train,1055,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0056,train,1056,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0057,train,1057,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0058,train,1058,synthetic_paper_like_reconstruction,frozen_before_model_screening
reconstructed_train_0059,train,1059,synthetic_paper_like_reconstruction,frozen_before_model_screening
